title,company,location,salary,type,description,apply_link,created_at
"Software Dev Engineer II, Finance Technology",Amazon.com,Hyderabad IN,Not disclosed,Full-time,"DESCRIPTION

Amazon Finance Technology (FinTech) invites talented engineers to shape the future of financial systems. We build highly scalable, next-generation platforms utilizing Amazon Cloud and GenAI technologies. Our Fintech Compliance and Automation Systems team seeks a Software Development Engineer to join our innovative group. We develop advanced solutions that enhance compliance, increase accuracy, and streamline Amazon's global financial operations.
As a Software Development Engineer, y...",https://bebee.com/in/jobs/software-dev-engineer-ii-finance-technology-amazoncom-hyderabad-telangana--theirstack-674073668,2026-05-02 01:30:29
"Account Manager, Focus Next, Focus Next, AWS",Amazon,Mumbai IN,Not disclosed,Full-time,"Do you have the business savvy and the technical background necessary to help establish Amazon as a key technology platform provider? Amazon Web Services India Private Limited is leading the next paradigm shift in computing and is looking for world-class candidates to join our enterprise business.

As a Focus Next Account Manager for AWS India, your responsibilities will include building and driving the strategy to increase adoption, and market penetration in these large IT/ITeS Accounts and bui...",https://bebee.com/in/jobs/account-manager-focus-next-focus-next-aws-amazon-mumbai--theirstack-672491092,2026-05-02 01:29:29
"Senior Category Manager, Amazon",Amazon,New Delhi IN,Not disclosed,Full-time,"This job is with Amazon, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ+ business community. Please do not contact the recruiter directly.

DESCRIPTION : Category Manager

Amazon.com / Amazon.in strives to be Earth's most customer-centric company where people can find and discover virtually anything they want to buy online. By giving customers more of what they want - low prices, vast selection, and convenience - Amazon.in continues to grow and evolve a...",https://in.talent.com/view?id=616672428978675640,2026-05-02 01:28:29
"Facility Operations Center Manager, Facility Operations Center",Amazon Web Services (AWS),None IN,Not disclosed,Full-time,"Description AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running.

We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the innovation they rely on. We work on the most challenging problems, with thousands of variables impacting the supply chain — and we’re looking for talent...",https://bebee.com/in/jobs/facility-operations-center-manager-facility-operations-center-amazon-web-services-aws-mumbai-metropo--theirstack-673762674,2026-05-02 01:27:29
"Manager, Account Management, NA AVS",Amazon,Bengaluru IN,Not disclosed,Full-time,"Description

About Amazon.com

Amazon.com strives to be Earth's most customer-centric company where people can find and discover virtually anything they want to buy online. By giving customers more of what they want - low prices, vast selection, and convenience - Amazon.com continues to grow and evolve as a world-class e-commerce platform. Amazon's evolution from Web site to e-commerce partner to development platform is driven by the spirit of innovation that is part of the company's DNA. The wo...",https://onemainfinancial-veteranjobs.dejobs.org/bengaluru-ind/manager-account-management-na-avs/DB180B7D9372463E8916AD2D2C59B621/job/,2026-05-02 01:26:29
"Software Development Engineer , Amazon Lending",Amazon.com,Bengaluru IN,Not disclosed,Full-time,"DESCRIPTION

Are you a driven Software Development Engineer who wants to have a direct impact on customers and the team? Do you enjoy building flexible, performant and extensible solutions for complex financial and risk problems? As a Software Development Engineer on Amazon Lending, you will lead designing and building systems to support our financial products. In this role you will work closely with a talented team of software engineers, product managers, and UX designers to build financial pro...",https://bebee.com/in/jobs/software-development-engineer-amazon-lending-amazoncom-bengaluru-karnataka--theirstack-672974407,2026-05-02 01:25:29
"Software Development Engineer, Alexa AI Logistics for Infrastructure, Cost, & Efficiency",Amazon.com,Bengaluru IN,Not disclosed,Full-time,"DESCRIPTION

Are you passionate about building infrastructure that powers AI at scale? Do you want to work on systems that serve millions of Alexa customers every day? The Alexa AI Logistics for Infrastructure, Cost, and Efficiency (ALICE) team is looking for Software Development Engineers to join our new India team and help build and operate Alexa's LLM inference infrastructure.

At ALICE, we build products and solutions that enable Alexa service owners to analyze, forecast, and manage infrastr...",https://bebee.com/in/jobs/software-development-engineer-alexa-ai-logistics-for-infrastructure-cost-efficiency-amazoncom-bengal--theirstack-673068404,2026-05-02 01:24:29
Amazon Customer Support Role - Hyderabad (Registration required),Amazon,Hyderabad IN,Not disclosed,Full-time,"Excellent Opportunity at Amazon for Voice (Work From Office). Come be a part of Earth's Most Customer Centric Company

Candidates from Hyderabad.

Desired Candidate Profile :

• Minimum qualification is 10 + 2. Any graduate/ PG is eligible to apply

• Fresher can apply. Candidates with BPO experience would have edge.

• Excellent English communication is Mandate

• Should be comfortable to work for Night Shifts and flexible shift/ week offs

Compensation & Other Benefits :
Salary Base Pay : 385,...",https://bebee.com/in/jobs/amazon-customer-support-role-hyderabad-registration-required-amazon-hyderabad--theirstack-668028063,2026-05-02 01:23:29
"Group Manager, CXQO, Just Walk Out Technology",Amazon.com,Hyderabad IN,Not disclosed,Full-time,"DESCRIPTION

As part of the AWS Applied AI Solutions organization, we have a vision to provide business applications, leveraging Amazon’s unique experience and expertise, that are used by millions of companies worldwide to manage day-to-day operations. We will accomplish this by accelerating our customers’ businesses through delivery of intuitive and differentiated technology solutions that solve enduring business challenges. We blend vision with curiosity and Amazon’s real-world experience to b...",https://bebee.com/in/jobs/group-manager-cxqo-just-walk-out-technology-amazoncom-hyderabad-telangana--theirstack-670382259,2026-05-02 01:22:29
Network Development Engineer - Office Network Reliability,Amazon India Limited,Bengaluru IN,Not disclosed,Full-time,"Network Development Engineer, Office Network Reliability Engineering Join Amazon's Office Network Reliability Engineering team and help keep our global office networks running smoothly for 540,000 Amazonians across 400+ locations. In this role, you'll combine expert incident resolution with systematic capability building and proactive reliability engineering—designing automation systems, self-service tools, and operational processes that scale our ability to detect, respond to, and prevent netwo...",https://apna.co/job/bengaluru/network-development-engineer-office-network-reliab-1367375204,2026-05-02 01:21:29
Customer Service Associate,Amazon India Limited,New Delhi IN,Not disclosed,Full-time,"Virtual Customer Support Associate - Delhi, India Role: Virtual Customer Service Associate Job Type: Seasonal/Contractual Location: Work from home in (Delhi), India Our mission at Amazon is to be Earth’s most customer-centric company, and our award-winning Customer Service team is a key part of achieving that goal. Doing our best for our customers is where we get our energy, and that’s why you’ll find we approach things differently here. You won’t be asked to read from a script or learn dialogue...",https://apna.co/job/new-delhi/virtual-customer-support-associate-delhi-india-1253395484,2026-05-02 01:20:29
Applied Scientist - Books Reading & Discovery,Amazon India Limited,Bengaluru IN,Not disclosed,Full-time,"Applied Scientist II, Books Reading & Discovery Experiences Passionate about books? The Amazon Books team is looking for a talented Applied Scientist II to help invent, design, and deliver science solutions to make it easier for millions of customers to find the next book they will love. In this role, you will - Be a part of a growing team of scientists, economists, engineers, analysts, and business partners. - Use Amazon’s large-scale computing and data resources to generate deep understandings...",https://apna.co/job/bengaluru/applied-scientist-ii-books-reading-and-discovery-e-1692808477,2026-05-02 01:19:29
"Senior Category Manager, Amazon",Amazon.com,Bengaluru IN,Not disclosed,Full-time,"DESCRIPTION

Category Manager
Amazon.com/Amazon.in strives to be Earth's most customer-centric company where people can find and discover virtually anything they want to buy online. By giving customers more of what they want - low prices, vast selection, and convenience - Amazon.in continues to grow and evolve as a world-class e-commerce platform. Amazon's evolution from Web site to e-commerce partner to development platform is driven by the spirit of innovation that is part of the company's DNA...",https://bebee.com/in/jobs/senior-category-manager-amazon-amazoncom-bengaluru-karnataka--theirstack-670691928,2026-05-02 01:18:29
